Latitude,Longitude,name,distance,address,telephone,rating,open_true
43.672665,-79.321041,Udupi Palace,810,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.6,True
43.672278,-79.322523,Motimahal Restaurant Ltd,798,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,7.6,True
43.671871,-79.324283,Bombay Chowpatty,812,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,True
43.672004,-79.322433,Regency Restaurant Inc,790,"1423 Gerrard St E (Hiawatha St), Toronto ON M4L 1Z7",(416) 778-7366,6.2,True
43.6664,-79.316826,Butter Chicken Roti,255,"1610 Queen St E (Coxwel), Toronto ON M4L 1G2",(647) 349-7684,,True
43.671747,-79.323655,Baldev Paan & Cold Drink House,796,"1399 Gerrard St E, Toronto ON M4L 1Z5",(416) 463-7226,,True
43.672148,-79.321988,Famous Indian Cuisine,804,"1437 Gerrard St E (at Ashdale Ave), Toronto ON M4L 1Z7",(416) 406-4511,,True
43.672141,-79.322081,Indian Rasoi,811,"1437 Gerrard St E, Toronto ON M4L 1Z7",(647) 706-1994,,True
43.671864,-79.324375,Leela Indian Food Bar,811,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 461-8088,,True
43.672069,-79.322303,India Paan,796,"1427 Gerrard St E (Ashdale Ave), Toronto ON M4L 1Z7",(416) 461-8914,,True
43.677961,-79.443916,Pizza e Pazzi,733,"1182 Saint Clair Ave W, Toronto ON M6E 1B4",(647) 352-7882,7.8,True
43.672665,-79.321041,Udupi Palace,752,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",(416) 405-8189,8.6,True
43.672278,-79.322523,Motimahal Restaurant Ltd,767,"1422 Gerrard St E (Coxwell), Toronto ON M4L 1Z6",(416) 461-3111,7.6,True
43.671871,-79.324283,Bombay Chowpatty,812,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 405-8080,7.3,True
43.6664,-79.316826,Butter Chicken Roti,57,"1610 Queen St E (Coxwel), Toronto ON M4L 1G2",(647) 349-7684,,True
43.672004,-79.322433,Regency Restaurant Inc,759,"1423 Gerrard St E (Hiawatha St), Toronto ON M4L 1Z7",(416) 778-7366,6.2,True
43.672148,-79.321988,Famous Indian Cuisine,760,"1437 Gerrard St E (at Ashdale Ave), Toronto ON M4L 1Z7",(416) 406-4511,,True
43.671747,-79.323655,Baldev Paan & Cold Drink House,790,"1399 Gerrard St E, Toronto ON M4L 1Z5",(416) 463-7226,,True
43.672141,-79.322081,Indian Rasoi,796,"1437 Gerrard St E, Toronto ON M4L 1Z7",(647) 706-1994,,True
43.671864,-79.324375,Leela Indian Food Bar,811,"1386 Gerrard St E, Toronto ON M4L 1Z2",(416) 461-8088,,True
43.672069,-79.322303,India Paan,759,"1427 Gerrard St E (Ashdale Ave), Toronto ON M4L 1Z7",(416) 461-8914,,True
43.648545,-79.372114,Bindia Indian Bistro,652,"16 Market St, Toronto ON M5E 1M6",(416) 863-0000,7.5,True
43.64903,-79.374715,Chadani Indian Cuisine,478,"51 Colborne St, Toronto ON M5E 1E3",(647) 748-4090,,True
43.657256,-79.376052,Hurry Curry,494,"106 Mutual St, Toronto ON M5B 2R7",(416) 777-2879,,True
43.647934,-79.374354,Benares,606,"49 Front St E, Toronto ON M5E 1B3",(416) 955-9000,,True
