Station Name,Latitude,Longitude,Bikes Available
Queen St E / Woodward Ave,43.665269,-79.319796,15
Primrose Ave / Davenport Rd,43.67142,-79.445947,0
Queen St. E / Rhodes Ave.,43.666224,-79.317693,16
Bond St / Queen St E,43.653236,-79.376716,1
Church St / Alexander St,43.663722,-79.380288,7
University Ave / Gerrard St W (East Side),43.657763,-79.389165,21
Edward St / Yonge St,43.656729,-79.382736,1
Euclid Ave / Bloor St W,43.664467,-79.414783,12
Yonge St / Aylmer Ave,43.675492,-79.388858,3
Davenport Rd / Avenue Rd,43.674991,-79.396273,4
Yonge St / Yorkville Ave,43.671944,-79.387778,2
Dundas St E / Broadview Ave,43.662365,-79.351104,16
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,34
Gerrard St E / River St,43.663993,-79.358534,7
Jarvis St / Dundas St E,43.657266,-79.374756,3
Logan Av / Gerrard St E,43.6672144,-79.3452697,14
Regal Rd / Dufferin St,43.673939,-79.441159,0
Morse St / Eastern Ave,43.657991,-79.340075,5
Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,20
Blake St / Boultbee Ave,43.672453,-79.338259,9
Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,14
Gamble Ave / Broadview Ave,43.689211,-79.35438,7
111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,10
Dundas St E / Pembroke St - SMART,43.658295,-79.372346,1
Victoria Park Subway Station - SMART,43.6940155,-79.2889842,0
Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,0
Lawton Blvd / Yonge St,43.6910667,-79.39535,0
Yonge St / Davisville Ave,43.6975969,-79.39654,0
Fort York  Blvd / Capreol Ct,43.639832,-79.395954,18
St. George St / Bloor St W,43.667333,-79.399429,2
King St W / York St,43.6480008,-79.383177,3
University Ave / Elm St,43.656518,-79.389099,1
Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,2
Bloor St W / Dundas St W,43.6563889,-79.45166666666667,2
Bathurst St / Fort York Blvd,43.639179,-79.399595,7
Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,1
Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,5
Dundas St W / Edna Ave,43.657192,-79.452559,5
College St / Major St,43.6576,-79.4032,10
McGill St / Church St,43.660694,-79.379052,1
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,23
College Park South,43.659777,-79.382767,2
25 York St – Union Station South,43.643667,-79.380414,8
161 Bleecker St (South of Wellesley),43.666233,-79.373327,0
Spadina Ave / Fort York Blvd,43.640114,-79.393249,7
Augusta Ave / Denison Sq,43.653766,-79.4016759,11
Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,4
Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,1
