name,distance,address,telephone,rating,review_counts,closed
Regency Restaurant,779.0130455385532,"1423 Gerrard Street E, Toronto, ON M4L 1Z7, Canada",+1 416-778-7366,4.0,78,False
Lahore Tikka House,787.4737977905058,"1365 Gerrard Street E, Toronto, ON M4L 1Z3, Canada",+1 416-406-1668,3.5,544,False
The Famous Indian Cuisine,809.8067400048328,"1410 Gerrard Street E, Toronto, ON M4L 1Z4, Canada",+1 416-406-4511,4.0,66,False
Karma's Kitchen,772.1052134898712,"1411 Gerrard Street E, Toronto, ON M4L 1Z5, Canada",+1 647-345-2762,4.0,63,False
Udupi Palace,839.3962424759334,"1460 Gerrard Street E, Toronto, ON M4L 2A3, Canada",+1 416-405-8189,3.5,208,False
Leela Indian Food Bar,829.0861018161038,"1386 Gerrard Street E, Toronto, ON M4L 1Z2, Canada",+1 416-461-8088,4.0,18,False
Chandni Chowk Restaurant,816.8584969554906,"1426 Gerrard Street E, Toronto, ON M4L 1Z6, Canada",+1 416-469-4466,4.0,32,False
Gautama,831.9117457097226,"1416 Gerrard Street E, Toronto, ON M4L 1Z6, Canada",+1 416-469-4444,3.5,64,False
Bombay Chowpatty,832.3577440278639,"1386 Gerrard St E, Toronto, ON M4L, Canada",+1 416-405-8080,3.0,59,False
Motimahal,820.9476903595535,"1422 Gerrard St E, Toronto, ON M4L 1Z6, Canada",+1 416-461-3111,3.5,112,False
Lahore Grill & Fast Food,928.6752400193358,"1274 Gerrard Street E, Toronto, ON M4L 1Y6, Canada",+1 416-778-9785,3.5,14,False
KaSpace Cafe,1023.0188622260717,"1183 Queen Street E, Toronto, ON M4M 1L6, Canada",+1 647-657-9600,5.0,9,False
The Social Gardener,839.3721467797657,"1326 Gerrard Street  E, Toronto, ON M4L 1Z1, Canada",+1 416-465-6021,3.5,5,False
Butter Chicken Roti,269.8924212338174,"1610 Queen Street E, Toronto, ON M4L 1G2, Canada",+1 647-349-7684,2.5,13,False
Taste Of Tandooree And Sweets,854.6929787729543,"1330 Gerrard Street E, Toronto, ON M4L 1Z1, Canada",+1 416-519-4510,3.0,10,False
India Paan,776.5979114395852,"1427 Gerrard St E, Toronto, ON M4L 1Z7, Canada",+1 416-461-8914,2.0,4,False
Nitya Restaurant,778.3499920875655,"1433 Gerrard St E, Toronto, ON M4L 1Z6, Canada",+1 416-469-1500,3.5,4,False
Baldev Paan Cold Drink House,772.5122519140297,"1399 Gerrard Street E, Toronto, ON M4L 1Z5, Canada",+1 416-463-7226,3.0,3,False
Lahore BBQ Paan Center,777.9819023421976,"1435 Gerrard Street E, Toronto, ON M4L 1Z7, Canada",+1 416-462-3293,3.0,15,False
Maha's,1005.190034713692,"226 Greenwood Avenue, Toronto, ON M4L 2R2, Canada",+1 416-462-2703,4.0,598,False
Regency Restaurant,747.3465997096421,"1423 Gerrard Street E, Toronto, ON M4L 1Z7, Canada",+1 416-778-7366,4.0,78,False
The Famous Indian Cuisine,791.8885777855301,"1410 Gerrard Street E, Toronto, ON M4L 1Z4, Canada",+1 416-406-4511,4.0,66,False
Lahore Tikka House,802.997541789159,"1365 Gerrard Street E, Toronto, ON M4L 1Z3, Canada",+1 416-406-1668,3.5,544,False
Karma's Kitchen,755.6731487322779,"1411 Gerrard Street E, Toronto, ON M4L 1Z5, Canada",+1 647-345-2762,4.0,63,False
Udupi Palace,776.9763782879496,"1460 Gerrard Street E, Toronto, ON M4L 2A3, Canada",+1 416-405-8189,3.5,208,False
Chandni Chowk Restaurant,784.142212018523,"1426 Gerrard Street E, Toronto, ON M4L 1Z6, Canada",+1 416-469-4466,4.0,32,False
Leela Indian Food Bar,833.2911410986461,"1386 Gerrard Street E, Toronto, ON M4L 1Z2, Canada",+1 416-461-8088,4.0,18,False
Gautama,804.6544231856334,"1416 Gerrard Street E, Toronto, ON M4L 1Z6, Canada",+1 416-469-4444,3.5,64,False
Motimahal,790.1981673684573,"1422 Gerrard St E, Toronto, ON M4L 1Z6, Canada",+1 416-461-3111,3.5,112,False
Bombay Chowpatty,835.9026079721546,"1386 Gerrard St E, Toronto, ON M4L, Canada",+1 416-405-8080,3.0,59,False
Butter Chicken Roti,72.41293906313112,"1610 Queen Street E, Toronto, ON M4L 1G2, Canada",+1 647-349-7684,2.5,13,False
Lahore Grill & Fast Food,991.7745004033363,"1274 Gerrard Street E, Toronto, ON M4L 1Y6, Canada",+1 416-778-9785,3.5,14,False
The Social Gardener,863.6850306380934,"1326 Gerrard Street  E, Toronto, ON M4L 1Z1, Canada",+1 416-465-6021,3.5,5,False
